"","x"
"1",2
"2",4
"3",10
"4",11
"5",35
"6",36
"7",39
"8",41
"9",48
"10",49
"11",54
"12",56
"13",58
"14",59
"15",60
"16",67
"17",76
"18",83
"19",84
"20",87
"21",88
"22",89
"23",90
"24",91
"25",94
"26",98
"27",102
"28",103
"29",107
"30",116
"31",120
"32",126
"33",127
"34",130
"35",133
"36",134
"37",135
"38",139
"39",142
"40",143
"41",145
"42",147
"43",150
"44",152
"45",153
"46",158
"47",160
"48",168
"49",169
"50",170
"51",171
"52",172
"53",176
"54",178
"55",180
"56",183
