"","x"
"1",5
"2",11
"3",12
"4",17
"5",18
"6",21
"7",25
"8",29
"9",36
"10",37
"11",38
"12",39
"13",40
"14",41
"15",45
"16",50
"17",51
"18",57
"19",59
"20",60
"21",61
"22",62
"23",63
"24",65
"25",72
"26",73
"27",88
"28",93
"29",95
"30",96
"31",97
"32",98
"33",99
"34",108
"35",110
"36",111
"37",115
"38",118
"39",125
"40",126
"41",131
"42",140
"43",144
"44",146
"45",147
"46",148
"47",150
"48",152
"49",155
"50",156
"51",159
"52",161
"53",163
"54",165
"55",166
"56",168
"57",170
"58",173
"59",178
"60",180
"61",183
"62",185
"63",186
"64",190
"65",192
"66",194
"67",197
"68",202
"69",205
"70",206
