"","x"
"1",5
"2",11
"3",12
"4",17
"5",18
"6",29
"7",33
"8",37
"9",38
"10",40
"11",41
"12",49
"13",51
"14",57
"15",59
"16",60
"17",62
"18",63
"19",65
"20",71
"21",72
"22",73
"23",88
"24",89
"25",92
"26",94
"27",95
"28",96
"29",97
"30",105
"31",109
"32",110
"33",114
"34",124
"35",130
"36",137
"37",139
"38",149
"39",151
"40",154
"41",155
"42",157
"43",162
"44",164
"45",165
"46",167
"47",170
"48",173
"49",180
"50",181
"51",182
"52",183
"53",188
"54",192
"55",193
"56",200
"57",202
"58",203
"59",204
